nt_ref,nt_text,ot_ref,ot_text
Mt 1:23,"Behold, a virgin shall be with child, and shall bring forth a son, and they shall call his name Emmanuel, which being interpreted is, God with us.",Isa 7:14,"Therefore the Lord himself shall give you a sign; Behold, a virgin shall conceive, and bear a son, and shall call his name Immanuel."
Mt 2:6,"And thou Bethlehem, in the land of Juda, art not the least among the princes of Juda: for out of thee shall come a Governor, that shall rule my people Israel.",Mic 5:2,"But thou, Bethlehem Ephratah, though thou be little among the thousands of Judah, yet out of thee shall he come forth unto me that is to be ruler in Israel; whose goings forth have been from of old, from everlasting."
Mt 2:15,"And was there until the death of Herod: that it might be fulfilled which was spoken of the Lord by the prophet, saying, Out of Egypt have I called my son.",Ho 11:1,"When Israel was a child, then I loved him, and called my son out of Egypt."
Mt 2:18,"In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping for her children, and would not be comforted, because they are not.",Jer 31:15,"Thus saith the LORD; A voice was heard in Ramah, lamentation, and bitter weeping; Rahel weeping for her children refused to be comforted for her children, because they were not."
Mt 3:3,"For this is he that was spoken of by the prophet Esaias, saying, The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.",Isa 40:3,"The voice of him that crieth in the wilderness, Prepare ye the way of the LORD, make straight in the desert a highway for our God."
Mt 4:4,"But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.",De 8:3,"And he humbled thee, and suffered thee to hunger, and fed thee with manna, which thou knewest not, neither did thy fathers know; that he might make thee know that man doth not live by bread only, but by every word that proceedeth out of the mouth of the LORD doth man live."
Mt 4:6,"And saith unto him, If thou be the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and in their hands they shall bear thee up, lest at any time thou dash thy foot against a stone.","Ps 91:11,12","For he shall give his angels charge over thee, to keep thee in all thy ways."
Mt 4:7,"Jesus said unto him, It is written again, Thou shalt not tempt the Lord thy God.",De 6:16,"Ye shall not tempt the LORD your God, as ye tempted him in Massah."
Mt 4:10,"Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.",De 6:13,"Thou shalt fear the LORD thy God, and serve him, and shalt swear by his name."
Mt 4:10,"Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.",De 10:20,"Thou shalt fear the LORD thy God; him shalt thou serve, and to him shalt thou cleave, and swear by his name."
"Mt 4:15,16","The land of Zabulon, and the land of Nephthalim, by the way of the sea, beyond Jordan, Galilee of the Gentiles;","Isa 9:1,2","Nevertheless the dimness shall not be such as was in her vexation, when at the first he lightly afflicted the land of Zebulun and the land of Naphtali, and afterward did more grievously afflict her by the way of the sea, beyond Jordan, in Galilee of the nations."
"Mt 4:15,16","The land of Zabulon, and the land of Nephthalim, by the way of the sea, beyond Jordan, Galilee of the Gentiles;",Isa 42:7,"To open the blind eyes, to bring out the prisoners from the prison, and them that sit in darkness out of the prison house."
Mt 5:21,"Ye have heard that it was said of them of old time, Thou shalt not kill; and whosoever shall kill shall be in danger of the judgment:",De 5:17,Thou shalt not kill.
Mt 5:27,"Ye have heard that it was said by them of old time, Thou shalt not commit adultery:",De 5:18,Neither shalt thou commit adultery.
Mt 5:38,"Ye have heard that it hath been said, An eye for an eye, and a tooth for a tooth:",De 19:21,"And thine eye shall not pity; but life shall go for life, eye for eye, tooth for tooth, hand for hand, foot for foot."
Mt 5:48,"Be ye therefore perfect, even as your Father which is in heaven is perfect.",Ge 17:1,"And when Abram was ninety years old and nine, the LORD appeared to Abram, and said unto him, I am the Almighty God; walk before me, and be thou perfect."
Mt 7:23,"And then will I profess unto them, I never knew you: depart from me, ye that work iniquity.",Ps 6:8,"Depart from me, all ye workers of iniquity; for the LORD hath heard the voice of my weeping."
Mt 8:17,"That it might be fulfilled which was spoken by Esaias the prophet, saying, Himself took our infirmities, and bare our sicknesses.",Isa 53:4,"Surely he hath borne our griefs, and carried our sorrows: yet we did esteem him stricken, smitten of God, and afflicted."
Mt 9:13,"But go ye and learn what that meaneth, I will have mercy, and not sacrifice: for I am not come to call the righteous, but sinners to repentance.",Ho 6:6,"For I desired mercy, and not sacrifice; and the knowledge of God more than burnt offerings."
Mt 11:10,"For this is he, of whom it is written, Behold, I send my messenger before thy face, which shall prepare thy way before thee.",Mal 3:1,"Behold, I will send my messenger, and he shall prepare the way before me: and the LORD, whom ye seek, shall suddenly come to his temple, even the messenger of the covenant, whom ye delight in: behold, he shall come, saith the LORD of hosts."
Mt 12:7,"But if ye had known what this meaneth, I will have mercy, and not sacrifice, ye would not have condemned the guiltless.",Ho 6:6,"For I desired mercy, and not sacrifice; and the knowledge of God more than burnt offerings."
Mt 12:18,"Behold my servant, whom I have chosen; my beloved, in whom my soul is well pleased: I will put my spirit upon him, and he shall shew judgment to the Gentiles.",Isa 42:1,"Behold my servant, whom I uphold; mine elect, in whom my soul delighteth; I have put my spirit upon him: he shall bring forth judgment to the Gentiles."
Mt 12:18-21,"Behold my servant, whom I have chosen; my beloved, in whom my soul is well pleased: I will put my spirit upon him, and he shall shew judgment to the Gentiles.",Isa 42:1-4,"Behold my servant, whom I uphold; mine elect, in whom my soul delighteth; I have put my spirit upon him: he shall bring forth judgment to the Gentiles."
Mt 13:14,"And in them is fulfilled the prophecy of Esaias, which saith, By hearing ye shall hear, and shall not understand; and seeing ye shall see, and shall not perceive:","Isa 6:9,10","And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not."
Mt 13:35,"That it might be fulfilled which was spoken by the prophet, saying, I will open my mouth in parables; I will utter things which have been kept secret from the foundation of the world.",Ps 78:2,I will open my mouth in a parable: I will utter dark sayings of old:
Mt 15:4,"For God commanded, saying, Honour thy father and mother: and, He that curseth father or mother, let him die the death.",Ex 20:12,Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
Mt 15:4,"For God commanded, saying, Honour thy father and mother: and, He that curseth father or mother, let him die the death.",De 5:16,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
Mt 15:4,"For God commanded, saying, Honour thy father and mother: and, He that curseth father or mother, let him die the death.",Ex 21:17,"And he that curseth his father, or his mother, shall surely be put to death."
"Mt 15:8,9","This people draweth nigh unto me with their mouth, and honoureth me with their lips; but their heart is far from me.",Isa 29:13,"Wherefore the Lord said, Forasmuch as this people draw near me with their mouth, and with their lips do honour me, but have removed their heart far from me, and their fear toward me is taught by the precept of men:"
Mt 19:5,"And said, For this cause shall a man leave father and mother, and shall cleave to his wife: and they twain shall be one flesh?",Ge 2:24,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
Mt 19:18,"He saith unto him, Which? Jesus said, Thou shalt do no murder, Thou shalt not commit adultery, Thou shalt not steal, Thou shalt not bear false witness,",Ex 20:12-16,Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
Mt 19:19,"Honour thy father and thy mother: and, Thou shalt love thy neighbour as thyself.",Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
Mt 21:5,"Tell ye the daughter of Sion, Behold, thy King cometh unto thee, meek, and sitting upon an ass, and a colt the foal of an ass.",Zec 9:9,"Rejoice greatly, O daughter of Zion; shout, O daughter of Jerusalem: behold, thy King cometh unto thee: he is just, and having salvation; lowly, and riding upon an ass, and upon a colt the foal of an ass."
Mt 21:9,"And the multitudes that went before, and that followed, cried, saying, Hosanna to the son of David: Blessed is he that cometh in the name of the Lord; Hosanna in the highest.",Ps 118:26,Blessed be he that cometh in the name of the LORD: we have blessed you out of the house of the LORD.
Mt 21:13,"And said unto them, It is written, My house shall be called the house of prayer; but ye have made it a den of thieves.",Isa 56:7,"Even them will I bring to my holy mountain, and make them joyful in my house of prayer: their burnt offerings and their sacrifices shall be accepted upon mine altar; for mine house shall be called an house of prayer for all people."
Mt 21:13,"And said unto them, It is written, My house shall be called the house of prayer; but ye have made it a den of thieves.",Jer 7:11,"Is this house, which is called by my name, become a den of robbers in your eyes? Behold, even I have seen it, saith the LORD."
Mt 21:16,"And said unto him, Hearest thou what these say? And Jesus saith unto them, Yea; have ye never read, Out of the mouth of babes and sucklings thou hast perfected praise?",Ps 8:2,"Out of the mouth of babes and sucklings hast thou ordained strength because of thine enemies, that thou mightest still the enemy and the avenger."
Mt 21:42,"Jesus saith unto them, Did ye never read in the scriptures, The stone which the builders rejected, the same is become the head of the corner: this is the Lord's doing, and it is marvellous in our eyes?","Ps 118:22,23",The stone which the builders refused is become the head stone of the corner.
Mt 22:24,"Saying, Master, Moses said, If a man die, having no children, his brother shall marry his wife, and raise up seed unto his brother.",De 25:5,"If brethren dwell together, and one of them die, and have no child, the wife of the dead shall not marry without unto a stranger: her husband's brother shall go in unto her, and take her to him to wife, and perform the duty of an husband's brother unto her."
Mt 22:32,"I am the God of Abraham, and the God of Isaac, and the God of Jacob? God is not the God of the dead, but of the living.",Ex 3:6,"Moreover he said, I am the God of thy father, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses hid his face; for he was afraid to look upon God."
Mt 22:37,"Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind.",De 6:5,"And thou shalt love the LORD thy God with all thine heart, and with all thy soul, and with all thy might."
Mt 22:39,"And the second is like unto it, Thou shalt love thy neighbour as thyself.",Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
Mt 22:44,"The LORD said unto my Lord, Sit thou on my right hand, till I make thine enemies thy footstool?",Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
Mt 24:21,"For then shall be great tribulation, such as was not since the beginning of the world to this time, no, nor ever shall be.",Jer 30:7,"Alas! for that day is great, so that none is like it: it is even the time of Jacob's trouble, but he shall be saved out of it."
Mt 25:41,"Then shall he say also unto them on the left hand, Depart from me, ye cursed, into everlasting fire, prepared for the devil and his angels:",Ps 6:8,"Depart from me, all ye workers of iniquity; for the LORD hath heard the voice of my weeping."
Mt 26:31,"Then saith Jesus unto them, All ye shall be offended because of me this night: for it is written, I will smite the shepherd, and the sheep of the flock shall be scattered abroad.",Zec 13:7,"Awake, O sword, against my shepherd, and against the man that is my fellow, saith the LORD of hosts: smite the shepherd, and the sheep shall be scattered: and I will turn mine hand upon the little ones."
"Mt 27:9,10","Then was fulfilled that which was spoken by Jeremy the prophet, saying, And they took the thirty pieces of silver, the price of him that was valued, whom they of the children of Israel did value;",Zec 11:13,"And the LORD said unto me, Cast it unto the potter: a goodly price that I was prised at of them. And I took the thirty pieces of silver, and cast them to the potter in the house of the LORD."
Mt 27:35,"And they crucified him, and parted his garments, casting lots: that it might be fulfilled which was spoken by the prophet, They parted my garments among them, and upon my vesture did they cast lots.",Ps 22:18,"They part my garments among them, and cast lots upon my vesture."
